val_td_live,level,area,label
25098,5,4.201113906,33096
1412,5,272.5686151,12966
3895,5,217.5937431,25100
3170,5,91.42248072,26887
38185,5,15.3662881,74886
101,2,69.92412233,1603
6429,5,94.20207923,31732
48802,3,2.437723362,76982
2573,5,163.3570344,20693
74217,1.5,3.881585255,87691
2304,4,55.30744978,17534
45822,4,61.27813704,52363
3922,3,18.46455916,20729
4491,4,79.51578175,28346
5238,3,42.86301536,28000
4074,3,288.2444964,52767
293,5,65.49019517,8355
1869,4,130.1954741,20408
2113,1.5,57.12184804,11140
1828,5,165.8921564,14476
43832,5,241.4797774,91246
653,5,48.57987358,9012
4752,4,247.3529683,28058
2442,2,273.8359339,23852
4033,3,52.50807451,23855
4217,2,33.41499627,13040
1315,4,241.9732181,11977
5192,5,143.7699775,38961
1758,4,60.56493412,17933
17106,3,49.93991821,99798
29,5,25.6799537,1978
13843,2,107.0481333,62033
197,5,19.53237511,2100
104,4,4.751771352,1441
1639,2,466.732951,14326
1376,4,67.11268623,11609
316,5,133.815989,4793
222,5,2257.457943,5882
9005,3,110.5962816,45963
1798,5,38.96040647,14049
2839,5,63.49911309,20589
5486,1,45.80769959,16439
7311,3,76.50486769,39383
5850,4,2.053964835,20688
942,3,29.70177628,5476
72104,1,4.346320841,57192
2085,4,202.7258903,14918
417,5,191.1413915,18064
3078,5,379.2515604,15660
4032,1.5,45.56133658,24786
29356,1.5,2.59908757,23192
9060,4,98.26355851,42730
2705,4,149.5107978,17107
5345,4,91.63695318,37292
8515,3,49.9969293,43629
1140,3,64.98580577,8263
864,4,306.2514855,7338
14788,2,235.1184975,50013
523,5,35.58775008,3262
370,5,54.80323128,5829
39515,3,2.809786982,71666
6733,1.5,39.38054871,22323
33018,2,6.220771943,49212
40590,1.5,19.38407657,60211
3756,5,92.8049259,24323
5761,2,47.46402029,21507
290,5,364.8427802,2218
5474,4,87.35092276,32137
9209,5,157.4306552,71028
1456,4,93.41551628,10528
240,4,26.41538673,2570
2066,2,320.2229036,12258
33602,5,143.2209134,68079
1985,4,179.5466967,29011
2977,5,45.34646398,14540
50163,4,98.22033523,55937
3757,3,50.58940632,33117
945,1.5,27.39596056,4168
917,5,165.2359178,8047
4026,4,47.07432618,33492
549,5,212.2996288,11365
905,4,124.0855477,20277
9097,3,0.515788311,36666
40402,2,2.195900041,100194
16783,4,8.822929649,56482
22703,5,99.69589559,63040
1715,4,26.39895756,14816
1574,4,210.4704215,9704
4179,3,179.071592,18791
23532,4,114.5151171,109108
2302,5,33.30715975,23510
56882,3,16.25285868,78829
81,5,310.7479769,4447
806,5,20.10375456,7393
2272,5,186.9000673,36942
17264,4,4.85850148,37255
4405,4,686.9224899,67782
4432,5,1705.700983,19588
47434,2,39.34841058,72317
654,4,208.6151885,10279
659,5,68.21585897,8586
9153,4,77.2338409,49004
1363,5,448.0624719,16862
467,4,354.184983,6040
249,5,764.5000108,5350
1516,4,36.2425836,15525
12639,3,73.29273613,54539
28084,2,43.05631424,39489
4528,4,205.5969643,43214
2028,3,921.5873673,20523
2036,3,42.57245013,14068
6367,5,73.20766983,18486
49084,1.5,3.160692526,86306
3957,4,121.8197899,27528
6463,3,27.08960277,20156
228,5,124.8961939,3720
1362,4,387.1744751,24401
4665,4,40.91645517,26608
3506,4,81.91586086,35784
3930,4,60.56805587,19096
3274,4,154.9463386,13691
2539,4,84.10008803,23976
5245,4,118.061199,28309
1423,3,226.585717,11178
10140,5,1.649502954,34858
1970,5,203.1885035,13079
6597,4,157.0782597,51707
1246,4,618.4743402,21499
5544,3,122.1053878,35674
15444,1.5,69.95210708,43364
1292,5,80.21034103,13697
3144,4,77.5723902,16833
4754,3,79.23739608,32621
88861,1.5,4.009425018,78227
54,3,44.1160878,831
18766,3,33.05519888,28083
12850,4,55.71161991,44647
7347,4,117.9511809,39236
5407,4,78.12800345,36093
3863,5,217.2900951,33051
46981,3,8.741103465,54501
28527,5,45.68872443,54229
2900,3,362.2247298,19578
31,5,70.24526312,337
187,5,166.1462204,2608
1546,3,210.4809256,9939
649,5,26.83290599,5104
15923,5,161.5696195,88481
15060,3,52.13285719,55938
4212,4,148.4429075,23788
898,5,96.10023118,9593
2450,4,44.6383332,22851
4497,3,53.92246607,26571
1010,5,158.958628,20377
1119,5,37.50958386,14640
8244,5,63.21349736,40532
1586,3,222.1131087,11920
2277,5,62.41831957,26462
3537,4,34.02206694,18847
1754,5,64.63380885,17002
10344,3,208.0611472,65691
50897,2,2.442281002,54955
460,4,41.53177488,7656
1049,3,279.0360801,21204
90573,1.5,2.410278321,105005
4266,3,65.98379034,18110
1539,3,222.3890217,12669
1916,5,45.02942773,9168
122320,2,16.69080247,123230
21776,5,187.9616461,52671
8305,5,39.72132107,26750
3912,5,1.911370813,16595
17774,4,70.58089502,28793
7600,5,12.24940426,15642
43383,1.5,12.73905482,153322
4728,4,45.10446705,31229
48,5,18.72229954,2324
53759,2,20.13545725,25427
229,5,46.06238462,5634
298920,1,21.05432042,276547
2072,3,279.3406029,19654
201,5,385.2744553,2726
4415,4,37.21622119,30527
2342,4,72.36733848,20386
1289,5,263.6757453,8519
18312,3,65.13185571,36780
13428,2,8.030975847,9007
1893,3,102.9425792,14070
11447,4,100.3819887,58761
13420,3,140.001584,54730
2049,5,91.08370421,24680
419,5,112.1666815,4286
296,4,8.874875901,2116
13006,4,125.2005591,26659
3782,4,242.1802949,31739
1060,1.5,33.48668157,11336
813,5,174.4834081,11294
10172,3,215.5109305,32540
9219,5,7.883083573,26909
893,5,240.3624261,25841
82059,1.5,24.19942774,65254
8001,3,0.909629437,21453
7269,5,264.6546876,15881
2257,5,93.58509241,14801
516,4,135.8997269,5436
2268,4,65.39564074,26918
5175,4,50.72406697,40885
2056,5,747.5093827,34986
11493,4,331.1314763,92108
2803,3,425.6411684,24797
2574,2,159.621179,31477
12427,3,90.42576105,70611
1753,5,53.06061374,14479
6759,3,583.723653,32975
52984,2,117.2264992,111481
1797,4,219.5494571,23783
1370,4,30.8250544,6834
1378,3,73.59594631,10257
12531,5,5.38577156,28271
7219,4,94.14729666,43995
15704,4,1.001568163,24337
2737,3,269.0178776,20812
4630,5,32.11748323,18667
20471,3,30.8462608,50470
15658,4,165.8130578,85427
10055,3,51.14173158,31299
1796,3,130.098822,36020
2083,5,52.17232285,9787
3507,5,293.160125,40315
3239,4,70.43174132,18010
5506,4,92.45711557,39936
2624,4,218.8083462,25247
12926,3,69.43746278,42117
1210,5,375.3795953,13900
3659,4,28.84948564,11007
4725,3,60.61029872,31108
2228,4,63.67940089,24418
35922,2,100.870944,34136
1130,5,441.8303804,4384
1900,4,36.84872896,22002
19095,4,1.483820925,47071
439,5,17.02419722,9554
6727,4,38.19969988,33777
598,5,381.5729245,23283
621,5,861.8162991,14294
739,5,652.900122,2060
1292,5,117.1609663,10486
110111,4,145.8307872,108924
110111,4,145.8307872,183183
31735,4,52.78763409,58320
5758,4,20.36614188,17139
580,5,12790.29081,8494
4823,3,28.09046673,19571
3493,2,243.2593488,35620
219,4,126.5432918,4542
51710,1,1.432141218,29173
2116,5,148.2100806,13532
665,5,66.69439605,6144
1129,4,257.6150087,18446
5816,5,215.1400538,63323
3108,4,6513.466677,15614
4663,4,176.3809405,23764
11102,5,447.0903975,65219
711,5,211.174826,5745
2462,4,128.2073466,7629
13126,3,61.86646478,46229
9357,3,7.417660633,17338
1339,5,291.4057829,29994
5271,3,353.2652791,32203
1151,5,1570.650387,3812
7160,4,82.80768039,37234
892,3,100.9220812,5289
1663,4,45.72967029,26925
7159,5,48.32368595,33671
1433,4,44.54308044,11966
4802,3,103.4451513,36175
545,5,31.36716727,11014
1494,5,152.2360158,17276
16528,3,59.38935412,45357
12,5,6.659780064,1044
2285,4,93.6296401,20420
9744,4,76.3597721,41226
670,4,13.23447899,322
3970,5,23.30942016,16193
310,3,104.1822704,3045
4553,2,49.51507492,24398
4267,5,77.47893197,18859
43,5,21.11874004,1722
462,3,37.51610915,4529
103847,2,22.40088356,51587
558,4,70.76542921,7666
265468,1,36.25154994,228217
22810,3,57.13537166,54151
3161,2,0.288094556,11836
25136,1.5,38.00659173,36660
13005,2,43.83603978,37828
782,5,459.1068482,8140
3590,3,92.32451154,13949
19658,3,42.57329076,81631
16552,4,5.097471939,68530
728,3,95.64946961,5126
2437,3,594.8948699,39343
23402,5,25.09184803,38537
11171,4,51.95183951,46002
11918,2,90.96731277,46892
10462,4,142.9323928,56650
2211,3,30.22636038,17671
3137,5,28.19330468,26096
5537,1.5,212.3194555,13808
771,3,40.16901458,14525
1172,4,175.5373523,12942
4400,4,63.67748953,30264
2959,5,127.486908,24934
1249,5,1288.416127,6575
320,5,330.0017714,2214
1528,3,438.3742035,17831
566,4,0.157254339,4625
42428,1.5,2.752464371,94411
1343,5,247.6881518,15285
2306,3,58.52866357,25672
57086,4,323.6982749,136431
3957,5,49.12432604,28519
1028,5,111.5599534,9561
755,5,33.14555533,12042
627,5,30.73370278,14342
2829,4,85.32329433,38828
744,3,19.09135614,10749
7453,4,57.25795596,40219
2363,4,122.8755696,19655
1735,4,106.0924249,17584
17983,4,4.086527655,24448
2012,4,62.78549682,12447
129288,2,11.11318963,126958
18010,3,78.05838849,55787
562,5,282.2542836,7650
670,5,66.44733601,5041
731,5,158.4777186,18491
13722,5,5.608746817,37215
6044,3,6.617715267,7647
162,5,205.5514105,5255
1607,3,101.4474021,13384
2435,5,179.9051758,18365
2887,3,140.7677286,24958
5738,4,308.777754,30944
612,4,107.094573,14750
2190,5,69.10033945,23150
93731,1,48.93751386,132038
10756,5,1.408435938,28007
2534,4,206.4801651,27303
2115,4,210.7759714,20512
302,5,1655.826783,6572
4269,2,128.6592412,20239
1902,4,191.6437293,19396
5502,4,154.4649233,33780
17846,4,0.805251261,21492
867,4,120.3892085,10635
2221,4,50.20046968,19643
494,5,2555.947006,3289
91677,5,22.97681103,119845
54,5,1196.998206,5142
18020,1.5,48.31060219,32314
12518,4,59.5723875,37882
62,5,758.9502826,1886
13110,3,42.28498847,53211
66,5,38.65384337,3417
640,3,131.1758178,4242
902,4,458.9977848,10065
205,3,6.807144995,894
32275,3,67.83395269,120177
2319,1.5,63.869376,20654
4469,4,74.91523209,39828
43655,3,15.61899822,38081
360,5,289.4359902,2357
881,3,22.11117872,9732
81942,1,2.024366986,105613
33826,5,4.565410085,50687
25644,3,6.56504024,47307
935,4,84.22318756,11090
12000,4,100.8178641,81408
2555,5,170.3198439,24568
11797,3,90.11018371,54641
1840,4,39.66947327,16673
3581,4,101.2138361,23122
809,5,220.7146251,11692
38380,4,87.07101988,81757
129397,3,8.754429783,90471
638,4,82.61048502,8060
1875,5,1091.295082,10659
1037,5,123.4120923,13257
1993,3,115.8752438,19891
644,4,157.7906324,13494
15982,3,54.7500567,52688
2356,5,209.7567436,20696
8834,4,99.30381134,17299
2624,4,35.58220845,11927
26564,2,2.742390133,32576
532,5,30.38502912,9101
3981,3,100.7596953,18781
3892,5,179.4224926,33179
93793,1.5,39.91193943,108601
1697,5,89.91763363,17622
1711,4,442.5368559,21920
5752,4,51.06417316,30345
2800,5,90.53146525,33558
156,5,28.51575112,3358
4527,5,56.66539672,17984
971,1.5,30.0610908,5984
55380,2,56.88055253,78250
3694,2,76.95491701,17934
9874,3,373.1181479,44762
6208,4,118.7097517,33053
14033,1.5,203.0851981,30364
4874,2,39.96756485,16492
2241,4,56.38553197,25564
40360,1.5,8.153473866,47154
3999,5,61.38972345,15725
47806,4,8.276563755,41771
9585,3,56.4971577,34840
9069,3,142.809537,57917
39663,5,2.771097026,83356
830,5,185.4132657,7335
1949,4,104.1426635,19446
2320,5,405.4691057,9040
32615,2,3.2604038,98961
1662,5,427.6160829,6408
4842,4,65.78221689,33582
7851,5,48.35646046,25143
4102,3,55.01874478,26624
455,5,53.34291987,4794
105,5,18.09101245,69
10229,4,37.50095234,32907
41607,4,60.45787605,74349
217081,1.5,36.27401983,198710
15643,4,8.004150753,52567
10577,4,430.5910083,30180
44285,1.5,31.01240666,46687
2447,5,77.48886683,31590
338,3,0.325302521,243
6525,3,5.2608321,5144
164,5,466.1423784,2358
2793,5,365.8970555,14320
3514,4,568.0103058,30059
7108,1.5,42.0934387,17839
5915,4,53.00840848,34675
885,5,278.2719218,4475
4060,4,60.6123296,32134
31865,1.5,0.851458571,43880
44284,3,57.78613279,88894
153,5,1785.745451,2954
2027,2,25.52135034,6357
3616,5,53.61356327,20503
36051,4,3.493990563,55608
1804,5,1792.380058,15972
8484,4,119.5836235,30100
1056,4,237.7127682,11041
23074,1.5,26.64311926,30814
4827,5,85.13376329,33630
4491,5,81.3848968,39678
321,4,192.498354,7182
393,3,36.68204779,3825
1175,3,320.4366749,6260
6732,2,71.94467481,25830
606,5,144.0184278,17957
3640,5,2333.844522,20169
2038,3,157.1643146,17276
1291,4,84.94709242,5333
6102,4,278.6558504,55433
8339,2,73.24673759,32098
3082,5,378.9969276,15467
144,5,1505.21736,8015
15762,4,87.49269915,104778
4992,2,113.2446203,24714
24214,3,26.37978993,55483
2123,3,79.07650501,538
8152,3,117.9128776,38376
3005,2,181.2910737,33718
2483,5,40.11169283,17111
5369,5,194.5276987,28318
164,5,59.75436325,3870
1632,4,797.3609746,11959
22471,4,32.01963278,38922
318,5,35.42015982,9476
1020,5,89.88421125,19379
6214,2,1352.690236,20607
7930,2,121.3542091,21950
197864,1.5,133.0773749,243802
26493,4,115.0024498,34621
22807,3,1.860413601,45299
587,4,209.7754825,3919
183,5,96.9161575,5661
5671,3,89.66455698,16199
10949,2,50.32806081,40376
135,5,1725.954621,1146
13105,2,20.59304329,27576
3862,4,65.87698703,19215
1877,1.5,61.79214882,17591
1597,5,130.7250332,21928
3308,4,99.78393163,18339
23067,4,3.256215268,34747
1416,3,26.32885701,11040
441,5,173.6538213,8074
2692,3,100.7421774,27045
883,3,26.28944981,5495
5785,4,50.52785548,9714
854,4,63.04925668,5733
211962,1,9.037675457,87696
22723,2,8.877952206,31750
5269,3,95.39531584,29059
6818,1,84.12381822,8672
652,1.5,49.10670275,6505
654,5,787.2114284,1909
532,5,164.5129471,7216
3954,4,36.99732611,19824
1376,3,104.9708888,7001
4505,4,98.79352833,24022
5541,5,258.8872073,32084
3574,3,330.9503392,21483
789,4,113.2174592,7961
19495,3,42.55894872,55613
17301,4,1.580887258,32530
2219,5,59.9467052,21406
2130,1.5,61.44594724,27597
2629,5,60.53260253,24541
4318,5,70.67611264,19280
9051,2,57.91427124,43423
545,4,88.59751878,11734
4382,3,0.37208563,10206
842,5,23.40365364,10599
20112,4,8.171519553,45059
20370,5,55.22764475,26152
1404,4,129.123175,11400
55214,1.5,4.048934723,102405
11101,4,72.00379204,85914
2912,4,1674.661494,29801
6137,4,62.33247798,42700
23951,2,80.85829568,57649
4802,5,59.11569253,39064
12651,1.5,35.45655805,17221
72954,1.5,3.283990471,31100
6588,4,79.5183521,34906
42952,2,46.88481186,75050
51683,5,6.461145732,45818
510,2,10.19568607,12271
4228,5,3.387981618,44544
16882,2,139.1113203,34187
3020,5,20.68724651,14983
1454,4,80.73524405,10560
12016,3,93.176448,63836
431,5,177.6898051,8083
2972,1.5,103.1266405,14030
3244,3,52.29318406,17971
27766,1.5,2.299066753,45931
234,4,336.6803847,5734
2719,5,106.9167256,13597
1312,5,18.99925224,12686
90007,2,6.030111989,95770
14687,4,43.06619954,47237
